-0.0034036	0.0061747	2461.5
-0.033218	-0.024725	2461.9
-0.063026	-0.055618	2462.3
-0.092822	-0.086498	2462.7
-0.1226	-0.11736	2463.1
-0.15235	-0.14819	2463.5
-0.18207	-0.17899	2463.9
-0.21175	-0.20975	2464.4
-0.24139	-0.24047	2464.8
-0.27098	-0.27113	2465.2
-0.30051	-0.30173	2465.6
-0.32997	-0.33227	2466
-0.35937	-0.36274	2466.4
-0.3887	-0.39312	2466.8
-0.41794	-0.42342	2467.2
-0.4471	-0.45364	2467.6
-0.47616	-0.48375	2467.9
-0.50512	-0.51376	2468.3
-0.53398	-0.54366	2468.7
-0.56273	-0.57345	2469.1
-0.59136	-0.60312	2469.5
-0.61987	-0.63265	2469.8
-0.64826	-0.66206	2470.2
-0.67651	-0.69132	2470.5
-0.70462	-0.72045	2470.9
-0.73259	-0.74942	2471.2
-0.76041	-0.77824	2471.6
-0.78807	-0.80689	2471.9
-0.81557	-0.83538	2472.3
-0.84291	-0.8637	2472.6
-0.87009	-0.89184	2472.9
-0.89708	-0.9198	2473.2
-0.9239	-0.94758	2473.5
-0.95053	-0.97516	2473.8
-0.97697	-1.0025	2474.1
-1.0032	-1.0297	2474.4
-1.0293	-1.0567	2474.7
-1.0551	-1.0835	2475
-1.0808	-1.11	2475.3
-1.1062	-1.1364	2475.6
-1.1314	-1.1625	2475.8
-1.1564	-1.1884	2476.1
-1.1812	-1.214	2476.3
-1.2058	-1.2395	2476.6
-1.2301	-1.2646	2476.8
-1.2542	-1.2896	2477.1
-1.278	-1.3143	2477.3
-1.3016	-1.3387	2477.5
-1.325	-1.3629	2477.8
-1.3481	-1.3869	2478
-1.371	-1.4106	2478.2
-1.3936	-1.434	2478.4
-1.416	-1.4571	2478.6
-1.4381	-1.48	2478.8
-1.4599	-1.5026	2479
-1.4815	-1.525	2479.2
-1.5028	-1.5471	2479.4
-1.5238	-1.5688	2479.6
-1.5446	-1.5904	2479.7
-1.5651	-1.6116	2479.9
-1.5853	-1.6325	2480.1
-1.6053	-1.6532	2480.2
-1.6249	-1.6736	2480.4
-1.6443	-1.6937	2480.6
-1.6634	-1.7134	2480.7
-1.6822	-1.7329	2480.9
-1.7007	-1.7522	2481
-1.719	-1.7711	2481.2
-1.7369	-1.7897	2481.3
-1.7546	-1.808	2481.4
-1.772	-1.826	2481.6
-1.7891	-1.8437	2481.7
-1.8059	-1.8611	2481.8
-1.8224	-1.8783	2482
-1.8386	-1.8951	2482.1
-1.8545	-1.9116	2482.2
-1.8701	-1.9278	2482.3
-1.8854	-1.9437	2482.4
-1.9005	-1.9593	2482.6
-1.9152	-1.9746	2482.7
-1.9297	-1.9896	2482.8
-1.9438	-2.0043	2482.9
-1.9577	-2.0187	2483
-1.9713	-2.0328	2483.1
-1.9846	-2.0466	2483.2
-1.9976	-2.0601	2483.3
-2.0103	-2.0733	2483.4
-2.0227	-2.0862	2483.5
-2.0348	-2.0989	2483.6
-2.0467	-2.1112	2483.7
-2.0582	-2.1232	2483.8
-2.0695	-2.1349	2483.9
-2.0805	-2.1464	2483.9
-2.0912	-2.1575	2484
-2.1017	-2.1684	2484.1
-2.1119	-2.179	2484.2
-2.1218	-2.1893	2484.3
-2.1314	-2.1993	2484.4
-2.1408	-2.2091	2484.4
-2.1499	-2.2186	2484.5
-2.1587	-2.2278	2484.6
-2.1673	-2.2367	2484.6
-2.1756	-2.2454	2484.7
-2.1837	-2.2538	2484.8
-2.1915	-2.2619	2484.8
-2.1991	-2.2698	2484.9
-2.2064	-2.2775	2485
-2.2135	-2.2849	2485
-2.2203	-2.292	2485.1
-2.227	-2.2989	2485.1
-2.2333	-2.3056	2485.2
-2.2395	-2.312	2485.2
-2.2455	-2.3182	2485.3
-2.2512	-2.3242	2485.3
-2.2567	-2.3299	2485.4
-2.262	-2.3355	2485.4
-2.2671	-2.3408	2485.5
-2.272	-2.3459	2485.5
-2.2767	-2.3508	2485.5
-2.2812	-2.3555	2485.6
-2.2855	-2.36	2485.6
-2.2897	-2.3643	2485.6
-2.2936	-2.3684	2485.7
-2.2974	-2.3723	2485.7
-2.301	-2.3761	2485.7
-2.3044	-2.3796	2485.7
-2.3077	-2.383	2485.7
-2.3108	-2.3863	2485.8
-2.3138	-2.3894	2485.8
-2.3166	-2.3923	2485.8
-2.3193	-2.395	2485.8
-2.3218	-2.3977	2485.8
-2.3242	-2.4001	2485.8
-2.3265	-2.4025	2485.8
-2.3286	-2.4047	2485.8
-2.3306	-2.4067	2485.8
-2.3325	-2.4087	2485.8
-2.3343	-2.4105	2485.8
-2.336	-2.4122	2485.8
-2.3376	-2.4138	2485.7
-2.339	-2.4153	2485.7
-2.3404	-2.4166	2485.7
-2.3417	-2.4179	2485.7
-2.3429	-2.4191	2485.7
-2.344	-2.4202	2485.6
-2.345	-2.4212	2485.6
-2.3459	-2.4221	2485.6
-2.3468	-2.423	2485.6
-2.3476	-2.4237	2485.5
-2.3483	-2.4244	2485.5
-2.349	-2.425	2485.4
-2.3496	-2.4256	2485.4
-2.3502	-2.4261	2485.4
-2.3507	-2.4265	2485.3
-2.3511	-2.4269	2485.3
-2.3515	-2.4272	2485.2
-2.3519	-2.4275	2485.2
-2.3522	-2.4277	2485.1
-2.3525	-2.4279	2485.1
-2.3527	-2.4281	2485
-2.3529	-2.4282	2485
-2.3531	-2.4283	2484.9
-2.3532	-2.4283	2484.9
-2.3534	-2.4283	2484.8
-2.3535	-2.4283	2484.7
-2.3535	-2.4283	2484.7
-2.3536	-2.4282	2484.6
